UID|OS|Browser|Device|startTime|devInfo|vibration|orientation|acceleration|rotationRate|proximity|light|magnetometer|compass|battery|geolocation|image|audio|endTime
1|"Android 14"|"Chrome 117.0.5938.61"|"Google Pixel 8"|"11/15/2023, 2:10:50 PM"|"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36"|1|1|1|1|0|0|0|1|1|0|1|"11/15/2023, 2:11:14 PM"|1
2|"Android 13"|"FireFox 119.1.1"|"Samsung Galaxy A32 5G"|"15.11.2023 г., 15:27:50 ч."|"Mozilla/5.0 (Android 13; Mobile; rv:109.0) Gecko/119.0 Firefox/119.0"|1|1|1|1|0|0|0|0|0|0|1|"15.11.2023 г., 15:28:09 ч."|1
3|"Android 13"|"Samsung Internet 23.0.0.47"|"Samsung Galaxy A32 5G"|"15.11.2023 г., 15:48:13 ч."|"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A326B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36"|1|1|1|1|0|0|0|1|0|0|1|"15.11.2023 г., 15:48:39 ч."|1
4|"Android 13"|"Chrome 119.0.6045.134"|"Samsung Galaxy A32 5G"|"15.11.2023 г., 16:02:51 ч."|"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36"|1|1|1|1|0|0|0|1|1|0|1|"15.11.2023 г., 16:03:12 ч."|1
12|"iOS 10"|Safari|"iPhone 7"|"15/11/2023, 19:36:12"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 19:36:49"|1
13|"iOS 15"|Safari|"iPhone 15"|"15/11/2023, 17:51:01"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 17:51:32"|1
16|"iOS 17"|Safari|"iPhone 15-Real"|"15/11/2023, 20:25:58"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 20:26:33"|1
17|"iOS 17"|Chrome|"iPhone 15"|"15/11/2023, 18:30:36"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 18:31:08"|1
18|"iOS 16"|Safari|"iPhone 14Pro"|"15/11/2023, 18:34:26"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 18:35:14"|1
19|"iOS 16"|Chrome|"iPhone 14Pro"|"15/11/2023, 18:39:50"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 18:40:21"|1
20|"iOS 17"|Safari|"iPhone 13"|"15/11/2023, 18:42:36"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 18:43:08"|1
21|"iOS 17"|Chrome|"iPhone 13"|"15/11/2023, 18:44:19"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 18:45:11"|1
22|"iOS 15"|Safari|"iPhone 13"|"15/11/2023, 18:48:28"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 18:49:05"|1
23|"iOS 15"|Chrome|"iPhone 13"|"15/11/2023, 18:50:04"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 18:50:40"|1
25|"iOS 16"|Safari|"iPhone 13-Real"|"15/11/2023, 21:04:22"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 21:04:58"|1
26|"iOS 14"|Safari|"iPhone 12"|"11/15/2023, 7:09:37 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"11/15/2023, 7:10:05 PM"|1
27|"iOS 14"|Chrome|"iPhone 12"|"11/15/2023, 7:10:47 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"11/15/2023, 7:11:20 PM"|1
28|"iOS 17"|Safari|"iPhone 12"|"15/11/2023, 19:13:37"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 19:14:09"|1
29|"iOS 17"|Safari|"iPhone 12"|"15/11/2023, 19:16:50"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|0|"15/11/2023, 19:17:32"
29|"iOS 17"|Chrome|"iPhone 12"|"15/11/2023, 19:17:43"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|0|"15/11/2023, 19:18:08"
31|"iOS 13"|Safari|"iPhone 11"|"15/11/2023, 19:24:41"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|0|"15/11/2023, 19:25:11"
32|"iOS 13"|Chrome|"iPhone 11"|"15/11/2023, 19:26:16"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|0|0|"15/11/2023, 19:26:35"
33|"iOS 14"|Safari|"iPhone 11"|"15/11/2023, 19:29:31"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"15/11/2023, 19:29:57"
34|"iOS 14"|Chrome|"iPhone 11"|"15/11/2023, 19:30:34"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|0|0|"15/11/2023, 19:30:54"
35|"iOS 15"|Safari|"iPhone 11"|"15/11/2023, 19:33:46"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 19:34:16"|1
36|"iOS 15"|Chrome|"iPhone 11"|"15/11/2023, 19:36:47"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|1|"15/11/2023, 19:37:20"
37|"iOS 15"|Safari|"iPhone 8"|"11/15/2023, 7:41:57 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"11/15/2023, 7:42:35 PM"|1
38|"iOS 15"|Chrome|"iPhone 8"|"11/15/2023, 7:43:33 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"11/15/2023, 7:44:09 PM"|1
39|"iOS 13"|Safari|"iPhone 8"|"15/11/2023, 19:45:03"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"15/11/2023, 19:45:28"
40|"iOS 13"|Chrome|"iPhone 8"|"15/11/2023, 19:46:00"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|0|0|"15/11/2023, 19:46:20"
41|"iOS 15"|Safari|"iPhone XS"|"15/11/2023, 19:50:37"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 19:51:05"|1
42|"iOS 15"|Chrome|"iPhone XS"|"15/11/2023, 19:51:40"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|0|"15/11/2023, 19:52:03"|1
43|"iOS 14"|Safari|"iPhone XS"|"15/11/2023, 19:52:53"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"15/11/2023, 19:53:22"
44|"iOS 14"|Chrome|"iPhone XS"|"15/11/2023, 19:54:24"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"15/11/2023, 19:54:58"
45|"iOS 13"|Safari|"iPhone XS"|"15/11/2023, 19:56:19"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"15/11/2023, 19:56:48"
46|"iOS 13"|Chrome|"iPhone XS"|"15/11/2023, 20:02:43"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|0|0|"15/11/2023, 20:03:04"
47|"iOS 12"|Safari|"iPhone XS"|"15/11/2023, 20:07:17"|"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"|0|1|1|1|0|0|0|0|0|0|1|0|"15/11/2023, 20:07:40"
48|"iOS 12"|Chrome|"iPhone XS"|"11/15/2023, 8:09:11 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/86.0.4240.93 Mobile/15E148 Safari/604.1"|0|1|1|1|0|0|0|0|0|1|0|0|"11/15/2023, 8:09:21 PM"
49|"iOS 12"|Safari|"iPhone 15 Pro Max"|"15/11/2023, 20:24:04"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 20:24:56"|1
49|"iOS 17"|Safari|"iPhone 15 Pro Max"|"15/11/2023, 20:26:27"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 20:27:05"|1
49|"iOS 17"|Safari|"iPhone 15 Pro Max"|"15/11/2023, 20:29:46"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|"15/11/2023, 20:30:15"|1
50|"iOS 17"|Chrome|" iPhone 15 Pro Max"|"15/11/2023, 20:31:19"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 20:32:07"|1
51|"iOS 16"|Safari|"iPhone 14 Pro Max"|"15/11/2023, 20:36:55"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 20:37:25"|1
52|"iOS 16"|Chrome|" iPhone 14 Pro Max"|"15/11/2023, 20:38:34"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"15/11/2023, 20:39:13"|1
53|"iOS 15"|Safari|"iPhone 13 Pro Max"|"11/15/2023, 8:40:48 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|1|"11/15/2023, 8:42:52 PM"
54|"iOS 15"|Chrome|" iPhone 13 Pro"|"11/15/2023, 8:43:57 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"11/15/2023, 8:44:41 PM"|1
55|"iOS 14"|Safari|"iPhone 12 Pro Max"|"11/15/2023, 8:47:23 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"11/15/2023, 8:47:48 PM"
56|"iOS 14"|Chrome|" iPhone 12 Pro Max"|"11/15/2023, 8:48:26 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|0|"11/15/2023, 8:48:55 PM"
57|"iOS 13"|Chrome|" iPhone 11 Pro Max"|"11/15/2023, 8:52:16 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"11/15/2023, 8:52:42 PM"
58|"iOS 13"|Safari|"iPhone 11 Pro Max"|"11/15/2023, 8:54:13 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|1|1|0|"11/15/2023, 8:54:39 PM"
59|"iOS 14"|Safari|"iPhone 11 Pro Max"|"11/15/2023, 8:56:02 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|"11/15/2023, 8:56:46 PM"|1
60|"iOS 14"|Chrome||"11/15/2023, 8:58:25 PM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1"|0|0|0|0|0|0|0|0|0|0|1|0|"11/15/2023, 8:59:06 PM"
